Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Product Image 1 Url,Product Image 2 Url
,royal-blue-skinny-tie,Royal Blue Skinny Tie,,"Premium royal blue skinny tie perfect for modern formal wear. Adds a contemporary touch to business and formal attire.",published,https://images.kctmenswear.com/accessories/royal-blue-skinny-tie.jpg,400,,,,,,,,coll_business_essentials,Tie,tie,TRUE,,,Royal Blue Skinny Tie,KCT-TIE-ROYAL-SKINNY,,FALSE,TRUE,,,,,,,,,,24.99,Style,Skinny,,,https://images.kctmenswear.com/accessories/royal-blue-skinny-tie.jpg,
,red-skinny-tie,Red Skinny Tie,,"Bold red skinny tie that makes a statement. Perfect for business meetings and formal events where you want to stand out.",published,https://images.kctmenswear.com/accessories/red-skinny-tie.jpg,400,,,,,,,,coll_business_essentials,Tie,tie,TRUE,,,Red Skinny Tie,KCT-TIE-RED-SKINNY,,FALSE,TRUE,,,,,,,,,,24.99,Style,Skinny,,,https://images.kctmenswear.com/accessories/red-skinny-tie.jpg,
,black-skinny-tie,Black Skinny Tie,,"Classic black skinny tie - a versatile essential for any formal wardrobe. Works perfectly with all suit colors and formal occasions.",published,https://images.kctmenswear.com/accessories/black-skinny-tie.jpg,400,,,,,,,,coll_business_essentials,Tie,tie,TRUE,,,Black Skinny Tie,KCT-TIE-BLACK-SKINNY,,FALSE,TRUE,,,,,,,,,,15.00,Style,Skinny,,,https://images.kctmenswear.com/accessories/black-skinny-tie.jpg,
,royal-turtleneck-black-design,Royal Turtleneck With Black Design,,"Sophisticated royal blue turtleneck featuring elegant black design elements. Perfect for modern formal and semi-formal occasions.",published,https://images.kctmenswear.com/accessories/royal-turtleneck-black-design.jpg,400,,,,,,,,coll_business_essentials,Turtleneck,turtleneck,TRUE,,,Royal Turtleneck With Black Design L,KCT-TURTLE-ROYAL-BLACK-L,,FALSE,TRUE,,,,,,,,,,69.99,Size,L,,,https://images.kctmenswear.com/accessories/royal-turtleneck-black-design.jpg,
,black-cardigan,Black Cardigan,,"Elegant black cardigan perfect for layering over dress shirts. Adds sophisticated warmth and style to any formal or business outfit.",published,https://images.kctmenswear.com/accessories/black-cardigan.jpg,400,,,,,,,,coll_business_essentials,Cardigan,cardigan,TRUE,,,Black Cardigan L,KCT-CARDIGAN-BLACK-L,,FALSE,TRUE,,,,,,,,,,149.99,Size,L,,,https://images.kctmenswear.com/accessories/black-cardigan.jpg,
,red-turtleneck,Red Turtleneck,,"Bold red turtleneck that adds a pop of color to your wardrobe. Perfect for casual formal occasions and contemporary styling.",published,https://images.kctmenswear.com/accessories/red-turtleneck.jpg,400,,,,,,,,coll_business_essentials,Turtleneck,turtleneck,TRUE,,,Red Turtleneck L,KCT-TURTLE-RED-L,,FALSE,TRUE,,,,,,,,,,49.99,Size,L,,,https://images.kctmenswear.com/accessories/red-turtleneck.jpg,
,black-turtleneck,Black Turtleneck,,"Classic black turtleneck - a versatile essential that works with suits, blazers, or on its own. Perfect for modern professional styling.",published,https://images.kctmenswear.com/accessories/black-turtleneck.jpg,400,,,,,,,,coll_business_essentials,Turtleneck,turtleneck,TRUE,,,Black Turtleneck L,KCT-TURTLE-BLACK-L,,FALSE,TRUE,,,,,,,,,,49.99,Size,L,,,https://images.kctmenswear.com/accessories/black-turtleneck.jpg,
,slim-cut-white-dress-shirt,Slim Cut White Dress Shirt,,"Essential slim cut white dress shirt perfect for business and formal occasions. Features premium cotton construction and modern tailoring.",published,https://images.kctmenswear.com/shirts/slim-white-dress-shirt.jpg,400,,,,,,,,coll_dress_shirts,Dress Shirt,dress-shirt,TRUE,,,Slim Cut White Dress Shirt L,KCT-SHIRT-WHITE-SLIM-L,,FALSE,TRUE,,,,,,,,,,39.99,Size,L,,,https://images.kctmenswear.com/shirts/slim-white-dress-shirt.jpg,
,slim-cut-black-dress-shirt,Slim Cut Black Dress Shirt,,"Sophisticated slim cut black dress shirt for modern professionals. Perfect for evening events and contemporary business attire.",published,https://images.kctmenswear.com/shirts/slim-black-dress-shirt.jpg,400,,,,,,,,coll_dress_shirts,Dress Shirt,dress-shirt,TRUE,,,Slim Cut Black Dress Shirt L,KCT-SHIRT-BLACK-SLIM-L,,FALSE,TRUE,,,,,,,,,,39.99,Size,L,,,https://images.kctmenswear.com/shirts/slim-black-dress-shirt.jpg,
,royal-blue-satin-dress-shirt,Royal Blue Satin Dress Shirt,,"Regal elegance meets modern sophistication in this stunning royal blue satin dress shirt. Perfect for formal events and special occasions.",published,https://images.kctmenswear.com/shirts/royal-blue-satin.jpg,400,,,,,,,,coll_dress_shirts,Dress Shirt,dress-shirt,TRUE,,,Royal Blue Satin Dress Shirt L,KCT-SHIRT-ROYAL-SATIN-L,,FALSE,TRUE,,,,,,,,,,69.99,Size,L,,,https://images.kctmenswear.com/shirts/royal-blue-satin.jpg,
,aqua-satin-dress-shirt,Aqua Satin Dress Shirt,,"Cool elegance for formal wear. This aqua satin dress shirt exudes sophistication and modern style for the discerning gentleman.",published,https://images.kctmenswear.com/shirts/aqua-satin.jpg,400,,,,,,,,coll_dress_shirts,Dress Shirt,dress-shirt,TRUE,,,Aqua Satin Dress Shirt L,KCT-SHIRT-AQUA-SATIN-L,,FALSE,TRUE,,,,,,,,,,69.99,Size,L,,,https://images.kctmenswear.com/shirts/aqua-satin.jpg,
,lavender-satin-dress-shirt,Lavender Satin Dress Shirt,,"Soft elegance in lavender satin. This chic dress shirt is ideal for formal events and adds a touch of sophistication to any ensemble.",published,https://images.kctmenswear.com/shirts/lavender-satin.jpg,400,,,,,,,,coll_dress_shirts,Dress Shirt,dress-shirt,TRUE,,,Lavender Satin Dress Shirt L,KCT-SHIRT-LAVENDER-SATIN-L,,FALSE,TRUE,,,,,,,,,,69.99,Size,L,,,https://images.kctmenswear.com/shirts/lavender-satin.jpg,
,white-shiny-dress-shirt,White Shiny Dress Shirt,,"Sophisticated white shiny dress shirt with sleek design and glossy fabric. Perfect for making a statement at formal gatherings.",published,https://images.kctmenswear.com/shirts/white-shiny.jpg,400,,,,,,,,coll_dress_shirts,Dress Shirt,dress-shirt,TRUE,,,White Shiny Dress Shirt L,KCT-SHIRT-WHITE-SHINY-L,,FALSE,TRUE,,,,,,,,,,69.99,Size,L,,,https://images.kctmenswear.com/shirts/white-shiny.jpg,
,charcoal-grey-three-piece-suit,Charcoal Grey Three Piece Suit,,"Elegant three-piece suit in classic charcoal grey. Perfect for business meetings, formal events, and special occasions. Features premium wool construction with modern tailoring.",published,https://images.kctmenswear.com/suits/charcoal-grey-three-piece.jpg,400,,,,,,,,coll_business_essentials,Suit,suits,TRUE,,,Charcoal Grey Three Piece Suit 42R Slim,KCT-SUIT-CHARCOAL-3P-42R-SLIM,,FALSE,TRUE,,,,,,,,,,159.99,Size,42R,Fit,Slim,https://images.kctmenswear.com/suits/charcoal-grey-three-piece.jpg,
,charcoal-grey-three-piece-suit,Charcoal Grey Three Piece Suit,,"Elegant three-piece suit in classic charcoal grey. Perfect for business meetings, formal events, and special occasions. Features premium wool construction with modern tailoring.",published,https://images.kctmenswear.com/suits/charcoal-grey-three-piece.jpg,400,,,,,,,,coll_business_essentials,Suit,suits,TRUE,,,Charcoal Grey Three Piece Suit 42R Classic,KCT-SUIT-CHARCOAL-3P-42R-CLASSIC,,FALSE,TRUE,,,,,,,,,,159.99,Size,42R,Fit,Classic,https://images.kctmenswear.com/suits/charcoal-grey-three-piece.jpg,
,mauve-stretch-travelers-suit,Mauve Stretch Travelers Suit,,"Modern mauve stretch suit designed for the traveling businessman. Wrinkle-resistant fabric with contemporary fit, perfect for business travel and professional meetings.",published,https://images.kctmenswear.com/suits/mauve-stretch-travelers.jpg,400,,,,,,,,coll_business_essentials,Suit,suits,TRUE,,,Mauve Stretch Travelers Suit 42R 2-Piece,KCT-SUIT-MAUVE-STRETCH-2P-42R,,FALSE,TRUE,,,,,,,,,,249.99,Size,42R,Piece Count,2-Piece,https://images.kctmenswear.com/suits/mauve-stretch-travelers.jpg,
,black-suit-with-vest,Black Suit with Vest,,"Classic black three-piece suit including jacket, pants, and vest. Timeless elegance for formal events, business meetings, and special occasions.",published,https://images.kctmenswear.com/suits/black-with-vest.jpg,400,,,,,,,,coll_business_essentials,Suit,suits,TRUE,,,Black Suit with Vest 42R Slim,KCT-SUIT-BLACK-VEST-42R-SLIM,,FALSE,TRUE,,,,,,,,,,199.99,Size,42R,Fit,Slim,https://images.kctmenswear.com/suits/black-with-vest.jpg,
,burnt-orange-pinstripe-three-piece-suit,Burnt Orange Pinstripe Three-Piece Suit,,"Bold burnt orange pinstripe three-piece suit that redefines classic elegance. Perfect for making a statement at formal events and special occasions.",published,https://images.kctmenswear.com/suits/burnt-orange-pinstripe.jpg,400,,,,,,,,coll_wedding_formal,Suit,suits,TRUE,,,Burnt Orange Pinstripe Three-Piece Suit 42R,KCT-SUIT-ORANGE-PINSTRIPE-3P-42R,,FALSE,TRUE,,,,,,,,,,249.99,Size,42R,,,https://images.kctmenswear.com/suits/burnt-orange-pinstripe.jpg,
,hunter-green-suit-with-vest,Hunter Green Suit with Vest,,"Sophisticated hunter green three-piece suit including jacket, pants, and vest. A refined choice for autumn weddings and formal events.",published,https://images.kctmenswear.com/suits/hunter-green-vest.jpg,400,,,,,,,,coll_wedding_formal,Suit,suits,TRUE,,,Hunter Green Suit with Vest 42R,KCT-SUIT-HUNTER-GREEN-VEST-42R,,FALSE,TRUE,,,,,,,,,,199.99,Size,42R,,,https://images.kctmenswear.com/suits/hunter-green-vest.jpg,
,white-wedding-suit,White Wedding Suit,,"Perfect white wedding suit designed for grooms and formal events. Includes jacket, pants, and vest for a complete formal look.",published,https://images.kctmenswear.com/suits/white-wedding.jpg,400,,,,,,,,coll_wedding_formal,Suit,suits,TRUE,,,White Wedding Suit 42R,KCT-SUIT-WHITE-WEDDING-42R,,FALSE,TRUE,,,,,,,,,,199.99,Size,42R,,,https://images.kctmenswear.com/suits/white-wedding.jpg,
,slim-black-tuxedo,Slim Black Tuxedo,,"Classic slim-fit black tuxedo perfect for formal events, galas, and black-tie occasions. Features modern tailoring with traditional elegance.",published,https://images.kctmenswear.com/tuxedos/slim-black-tuxedo.jpg,400,,,,,,,,coll_luxury_tuxedos,Tuxedo,tuxedo,TRUE,,,Slim Black Tuxedo 42R,KCT-TUX-SLIM-BLACK-42R,,FALSE,TRUE,,,,,,,,,,179.99,Size,42R,,,https://images.kctmenswear.com/tuxedos/slim-black-tuxedo.jpg,
,slim-white-tuxedo,Slim White Tuxedo,,"Elegant slim-fit white tuxedo perfect for summer weddings, yacht parties, and sophisticated evening events.",published,https://images.kctmenswear.com/tuxedos/slim-white-tuxedo.jpg,400,,,,,,,,coll_luxury_tuxedos,Tuxedo,tuxedo,TRUE,,,Slim White Tuxedo 42R,KCT-TUX-SLIM-WHITE-42R,,FALSE,TRUE,,,,,,,,,,179.99,Size,42R,,,https://images.kctmenswear.com/tuxedos/slim-white-tuxedo.jpg,
,slim-royal-blue-tuxedo,Slim Royal Blue Tuxedo,,"Bold slim-fit royal blue tuxedo that makes a statement at any formal event. Perfect for prom, weddings, and special celebrations.",published,https://images.kctmenswear.com/tuxedos/slim-royal-blue-tuxedo.jpg,400,,,,,,,,coll_luxury_tuxedos,Tuxedo,tuxedo,TRUE,,,Slim Royal Blue Tuxedo 42R,KCT-TUX-SLIM-ROYAL-42R,,FALSE,TRUE,,,,,,,,,,179.99,Size,42R,,,https://images.kctmenswear.com/tuxedos/slim-royal-blue-tuxedo.jpg,
,burgundy-wine-three-piece-tuxedo,Burgundy Wine Three Piece Tuxedo,,"Sophisticated burgundy wine three-piece tuxedo featuring jacket, pants, and vest. Perfect for autumn weddings and elegant evening events.",published,https://images.kctmenswear.com/tuxedos/burgundy-three-piece.jpg,400,,,,,,,,coll_luxury_tuxedos,Tuxedo,tuxedo,TRUE,,,Burgundy Wine Three Piece Tuxedo 42R,KCT-TUX-BURGUNDY-3P-42R,,FALSE,TRUE,,,,,,,,,,229.99,Size,42R,,,https://images.kctmenswear.com/tuxedos/burgundy-three-piece.jpg,
,navy-three-piece-tuxedo,Navy Three Piece Tuxedo,,"Classic navy three-piece tuxedo combining traditional elegance with modern sophistication. Features jacket, pants, and matching vest.",published,https://images.kctmenswear.com/tuxedos/navy-three-piece.jpg,400,,,,,,,,coll_luxury_tuxedos,Tuxedo,tuxedo,TRUE,,,Navy Three Piece Tuxedo 42R,KCT-TUX-NAVY-3P-42R,,FALSE,TRUE,,,,,,,,,,229.99,Size,42R,,,https://images.kctmenswear.com/tuxedos/navy-three-piece.jpg,
,black-three-piece-tuxedo,Black Three Piece Tuxedo,,"The ultimate in formal elegance - classic black three-piece tuxedo with jacket, pants, and vest. Perfect for the most formal occasions.",published,https://images.kctmenswear.com/tuxedos/black-three-piece.jpg,400,,,,,,,,coll_luxury_tuxedos,Tuxedo,tuxedo,TRUE,,,Black Three Piece Tuxedo 42R,KCT-TUX-BLACK-3P-42R,,FALSE,TRUE,,,,,,,,,,229.99,Size,42R,,,https://images.kctmenswear.com/tuxedos/black-three-piece.jpg,