Product id,Product title,Product subtitle,Product description,Product handle,Product status,Product thumbnail,Product weight,Product length,Product height,Product width,Product HS code,Product origin country,Product MID code,Product material,Product collection title,Product collection handle,Product type,Product tags,Product discountable,Product external id,Product profile name,Product profile type,Variant id,Variant title,Variant sku,Variant barcode,Variant inventory quantity,Variant allow backorder,Variant manage inventory,Variant weight,Variant length,Variant height,Variant width,Variant HS code,Variant origin country,Variant MID code,Variant material,Price USD,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Image url
,2 PC Double Breasted Pin-Stripe Suit,Premium Tazzio Collection,Elegant double-breasted men's suit featuring classic pin-stripe pattern. Includes matching jacket and pants. Perfect for formal occasions and business wear. Modern fit with premium polyester blend fabric.,mens-suit-m396sk-02,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M396SK-02.jpg,3,,,,,US,,Polyester Blend,Formal Suits,formal-suits,Mens-suit,"double-breasted,pin-stripe,formal,tazzio,2-piece,black,business",true,9736048476473,,,,,M396SK-02-36S,,1,false,true,3,,,,,US,,Polyester Blend,174.99,Size,36S,,,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M396SK-02.jpg
,2 PC Double Breasted Pin-Stripe Suit,Premium Tazzio Collection,Elegant double-breasted men's suit featuring classic pin-stripe pattern. Includes matching jacket and pants. Perfect for formal occasions and business wear. Modern fit with premium polyester blend fabric.,mens-suit-m396sk-02,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M396SK-02.jpg,3,,,,,US,,Polyester Blend,Formal Suits,formal-suits,Mens-suit,"double-breasted,pin-stripe,formal,tazzio,2-piece,black,business",true,9736048476473,,,,,M396SK-02-36R,,0,false,true,3,,,,,US,,Polyester Blend,174.99,Size,36R,,,
,2 PC Double Breasted Pin-Stripe Suit,Premium Tazzio Collection,Elegant double-breasted men's suit featuring classic pin-stripe pattern. Includes matching jacket and pants. Perfect for formal occasions and business wear. Modern fit with premium polyester blend fabric.,mens-suit-m396sk-02,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M396SK-02.jpg,3,,,,,US,,Polyester Blend,Formal Suits,formal-suits,Mens-suit,"double-breasted,pin-stripe,formal,tazzio,2-piece,black,business",true,9736048476473,,,,,M396SK-02-38S,,1,false,true,3,,,,,US,,Polyester Blend,174.99,Size,38S,,,
,2 PC Double Breasted Pin-Stripe Suit,Premium Tazzio Collection,Elegant double-breasted men's suit featuring classic pin-stripe pattern. Includes matching jacket and pants. Perfect for formal occasions and business wear. Modern fit with premium polyester blend fabric.,mens-suit-m396sk-02,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M396SK-02.jpg,3,,,,,US,,Polyester Blend,Formal Suits,formal-suits,Mens-suit,"double-breasted,pin-stripe,formal,tazzio,2-piece,black,business",true,9736048476473,,,,,M396SK-02-38R,,2,false,true,3,,,,,US,,Polyester Blend,174.99,Size,38R,,,
,2 PC Double Breasted Pin-Stripe Suit,Premium Tazzio Collection,Elegant double-breasted men's suit featuring classic pin-stripe pattern. Includes matching jacket and pants. Perfect for formal occasions and business wear. Modern fit with premium polyester blend fabric.,mens-suit-m396sk-02,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M396SK-02.jpg,3,,,,,US,,Polyester Blend,Formal Suits,formal-suits,Mens-suit,"double-breasted,pin-stripe,formal,tazzio,2-piece,black,business",true,9736048476473,,,,,M396SK-02-40R,,1,false,true,3,,,,,US,,Polyester Blend,174.99,Size,40R,,,
,2 PC Double Breasted Pin-Stripe Suit,Premium Tazzio Collection,Elegant double-breasted men's suit featuring classic pin-stripe pattern. Includes matching jacket and pants. Perfect for formal occasions and business wear. Modern fit with premium polyester blend fabric.,mens-suit-m396sk-02,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M396SK-02.jpg,3,,,,,US,,Polyester Blend,Formal Suits,formal-suits,Mens-suit,"double-breasted,pin-stripe,formal,tazzio,2-piece,black,business",true,9736048476473,,,,,M396SK-02-42R,,2,false,true,3,,,,,US,,Polyester Blend,174.99,Size,42R,,,
,2 PC Double Breasted Pin-Stripe Suit,Premium Tazzio Collection,Elegant double-breasted men's suit featuring classic pin-stripe pattern. Includes matching jacket and pants. Perfect for formal occasions and business wear. Modern fit with premium polyester blend fabric.,mens-suit-m396sk-02,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M396SK-02.jpg,3,,,,,US,,Polyester Blend,Formal Suits,formal-suits,Mens-suit,"double-breasted,pin-stripe,formal,tazzio,2-piece,black,business",true,9736048476473,,,,,M396SK-02-44R,,1,false,true,3,,,,,US,,Polyester Blend,174.99,Size,44R,,,
,2 PC Double Breasted Pin-Stripe Suit,Premium Tazzio Collection,Elegant double-breasted men's suit featuring classic pin-stripe pattern. Includes matching jacket and pants. Perfect for formal occasions and business wear. Modern fit with premium polyester blend fabric.,mens-suit-m396sk-02,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M396SK-02.jpg,3,,,,,US,,Polyester Blend,Formal Suits,formal-suits,Mens-suit,"double-breasted,pin-stripe,formal,tazzio,2-piece,black,business",true,9736048476473,,,,,M396SK-02-46R,,1,false,true,3,,,,,US,,Polyester Blend,174.99,Size,46R,,,
,2 PC Double Breasted Solid Suit,Premium Tazzio Collection,Versatile charcoal gray double-breasted suit. Perfect for business and formal events. Our best-selling style with exceptional fit and finish. Features functional buttonholes and premium lining.,mens-suit-m404sk-03,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,3.2,,,,,US,,Premium Polyester,Premium Collection,premium-collection,Mens-suit,"double-breasted,solid,formal,tazzio,2-piece,charcoal,premium,versatile",true,9776181510457,,,,,M404SK-03-36S,,8,false,true,3.2,,,,,US,,Premium Polyester,250.00,Size,36S,,,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg
,2 PC Double Breasted Solid Suit,Premium Tazzio Collection,Versatile charcoal gray double-breasted suit. Perfect for business and formal events. Our best-selling style with exceptional fit and finish. Features functional buttonholes and premium lining.,mens-suit-m404sk-03,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,3.2,,,,,US,,Premium Polyester,Premium Collection,premium-collection,Mens-suit,"double-breasted,solid,formal,tazzio,2-piece,charcoal,premium,versatile",true,9776181510457,,,,,M404SK-03-36R,,7,false,true,3.2,,,,,US,,Premium Polyester,250.00,Size,36R,,,
,2 PC Double Breasted Solid Suit,Premium Tazzio Collection,Versatile charcoal gray double-breasted suit. Perfect for business and formal events. Our best-selling style with exceptional fit and finish. Features functional buttonholes and premium lining.,mens-suit-m404sk-03,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,3.2,,,,,US,,Premium Polyester,Premium Collection,premium-collection,Mens-suit,"double-breasted,solid,formal,tazzio,2-piece,charcoal,premium,versatile",true,9776181510457,,,,,M404SK-03-38S,,8,false,true,3.2,,,,,US,,Premium Polyester,250.00,Size,38S,,,
,2 PC Double Breasted Solid Suit,Premium Tazzio Collection,Versatile charcoal gray double-breasted suit. Perfect for business and formal events. Our best-selling style with exceptional fit and finish. Features functional buttonholes and premium lining.,mens-suit-m404sk-03,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,3.2,,,,,US,,Premium Polyester,Premium Collection,premium-collection,Mens-suit,"double-breasted,solid,formal,tazzio,2-piece,charcoal,premium,versatile",true,9776181510457,,,,,M404SK-03-38R,,10,false,true,3.2,,,,,US,,Premium Polyester,250.00,Size,38R,,,
,2 PC Double Breasted Solid Suit,Premium Tazzio Collection,Versatile charcoal gray double-breasted suit. Perfect for business and formal events. Our best-selling style with exceptional fit and finish. Features functional buttonholes and premium lining.,mens-suit-m404sk-03,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,3.2,,,,,US,,Premium Polyester,Premium Collection,premium-collection,Mens-suit,"double-breasted,solid,formal,tazzio,2-piece,charcoal,premium,versatile",true,9776181510457,,,,,M404SK-03-40R,,12,false,true,3.2,,,,,US,,Premium Polyester,250.00,Size,40R,,,
,2 PC Double Breasted Solid Suit,Premium Tazzio Collection,Versatile charcoal gray double-breasted suit. Perfect for business and formal events. Our best-selling style with exceptional fit and finish. Features functional buttonholes and premium lining.,mens-suit-m404sk-03,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,3.2,,,,,US,,Premium Polyester,Premium Collection,premium-collection,Mens-suit,"double-breasted,solid,formal,tazzio,2-piece,charcoal,premium,versatile",true,9776181510457,,,,,M404SK-03-42R,,14,false,true,3.2,,,,,US,,Premium Polyester,250.00,Size,42R,,,
,2 PC Double Breasted Solid Suit,Premium Tazzio Collection,Versatile charcoal gray double-breasted suit. Perfect for business and formal events. Our best-selling style with exceptional fit and finish. Features functional buttonholes and premium lining.,mens-suit-m404sk-03,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,3.2,,,,,US,,Premium Polyester,Premium Collection,premium-collection,Mens-suit,"double-breasted,solid,formal,tazzio,2-piece,charcoal,premium,versatile",true,9776181510457,,,,,M404SK-03-44R,,11,false,true,3.2,,,,,US,,Premium Polyester,250.00,Size,44R,,,
,2 PC Double Breasted Solid Suit,Premium Tazzio Collection,Versatile charcoal gray double-breasted suit. Perfect for business and formal events. Our best-selling style with exceptional fit and finish. Features functional buttonholes and premium lining.,mens-suit-m404sk-03,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,3.2,,,,,US,,Premium Polyester,Premium Collection,premium-collection,Mens-suit,"double-breasted,solid,formal,tazzio,2-piece,charcoal,premium,versatile",true,9776181510457,,,,,M404SK-03-46R,,10,false,true,3.2,,,,,US,,Premium Polyester,250.00,Size,46R,,,
,2 PC Satin Shawl Collar Suit,Tazzio Tuxedo Collection,Rich burgundy suit with satin shawl collar. Stand out at any formal occasion. Perfect for prom weddings and special events. Features unique color with classic styling.,mens-suit-m341sk-06,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M341SK-06.jpg,3,,,,,US,,Polyester with Satin Trim,Tuxedos,tuxedos,Mens-suit,"shawl-collar,satin,formal,tazzio,2-piece,tuxedo,burgundy,wedding,unique",true,9736048738617,,,,,M341SK-06-36S,,4,false,true,3,,,,,US,,Polyester with Satin,174.99,Size,36S,,,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M341SK-06.jpg
,2 PC Satin Shawl Collar Suit,Tazzio Tuxedo Collection,Rich burgundy suit with satin shawl collar. Stand out at any formal occasion. Perfect for prom weddings and special events. Features unique color with classic styling.,mens-suit-m341sk-06,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M341SK-06.jpg,3,,,,,US,,Polyester with Satin Trim,Tuxedos,tuxedos,Mens-suit,"shawl-collar,satin,formal,tazzio,2-piece,tuxedo,burgundy,wedding,unique",true,9736048738617,,,,,M341SK-06-38R,,5,false,true,3,,,,,US,,Polyester with Satin,174.99,Size,38R,,,
,2 PC Satin Shawl Collar Suit,Tazzio Tuxedo Collection,Rich burgundy suit with satin shawl collar. Stand out at any formal occasion. Perfect for prom weddings and special events. Features unique color with classic styling.,mens-suit-m341sk-06,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M341SK-06.jpg,3,,,,,US,,Polyester with Satin Trim,Tuxedos,tuxedos,Mens-suit,"shawl-collar,satin,formal,tazzio,2-piece,tuxedo,burgundy,wedding,unique",true,9736048738617,,,,,M341SK-06-40R,,6,false,true,3,,,,,US,,Polyester with Satin,174.99,Size,40R,,,
,2 PC Satin Shawl Collar Suit,Tazzio Tuxedo Collection,Rich burgundy suit with satin shawl collar. Stand out at any formal occasion. Perfect for prom weddings and special events. Features unique color with classic styling.,mens-suit-m341sk-06,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M341SK-06.jpg,3,,,,,US,,Polyester with Satin Trim,Tuxedos,tuxedos,Mens-suit,"shawl-collar,satin,formal,tazzio,2-piece,tuxedo,burgundy,wedding,unique",true,9736048738617,,,,,M341SK-06-42R,,7,false,true,3,,,,,US,,Polyester with Satin,174.99,Size,42R,,,
,2 PC Satin Shawl Collar Suit,Tazzio Tuxedo Collection,Rich burgundy suit with satin shawl collar. Stand out at any formal occasion. Perfect for prom weddings and special events. Features unique color with classic styling.,mens-suit-m341sk-06,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M341SK-06.jpg,3,,,,,US,,Polyester with Satin Trim,Tuxedos,tuxedos,Mens-suit,"shawl-collar,satin,formal,tazzio,2-piece,tuxedo,burgundy,wedding,unique",true,9736048738617,,,,,M341SK-06-44R,,6,false,true,3,,,,,US,,Polyester with Satin,174.99,Size,44R,,,
,2 PC Satin Shawl Collar Suit,Tazzio Tuxedo Collection,Rich burgundy suit with satin shawl collar. Stand out at any formal occasion. Perfect for prom weddings and special events. Features unique color with classic styling.,mens-suit-m341sk-06,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M341SK-06.jpg,3,,,,,US,,Polyester with Satin Trim,Tuxedos,tuxedos,Mens-suit,"shawl-collar,satin,formal,tazzio,2-piece,tuxedo,burgundy,wedding,unique",true,9736048738617,,,,,M341SK-06-46R,,5,false,true,3,,,,,US,,Polyester with Satin,174.99,Size,46R,,,